model_name,6h,24h,72h
backbone,0.9895937312914672,0.9840956490133062,0.96347753961659
backbone_epoch_6,0.9896803601494047,0.983035765879647,0.957572759196745
pruned_1_layers_epoch_6,0.98952967461261,0.9822284689162696,0.7970204589753177
pruned_2_layers_epoch_6,0.9892182423415796,0.981355172628797,0.8680640965200669
pruned_3_layers_epoch_6,0.988707951327276,0.9797150489338284,0.5505005895425488
pruned_4_layers_epoch_6,0.9879171731751724,0.9773796500440416,0.9157308986067106
pruned_5_layers_epoch_6,0.9863640053312206,0.9737746562371706,0.7675081924353232
pruned_6_layers_epoch_6,0.98456544183486,0.9695159646385876,0.6857963735497864
persistence,0.83576,0.91416,0.83663
climatology,0.0,0.0,0.0
