model_name,6h,24h,72h
backbone,0.9993453085755504,0.9967963315921122,0.9674615976530746
backbone_epoch_6,0.9994240819408908,0.9960208585142424,0.959526718661772
pruned_1_layers_epoch_6,0.9994179982712816,0.9959793074170972,0.9569061907976032
pruned_2_layers_epoch_6,0.999336080511189,0.995284572659924,0.9529582941332344
pruned_3_layers_epoch_6,0.999229126136396,0.9941104670476648,0.936940392635388
pruned_4_layers_epoch_6,0.9990802224121946,0.9930751080619556,0.9336094686438916
pruned_5_layers_epoch_6,0.9989418940171184,0.9921101165217394,0.9141502040724516
pruned_6_layers_epoch_6,0.998709831157876,0.9896590549852596,0.9007985908225928
persistence,0.97361,0.82509,0.5744
climatology,0.0,0.0,0.0
