Model,6h RMSE,24h RMSE,72h RMSE
backbone,0.59,1.06,2.31
pruned_1_layers_epoch_6,0.6,1.11,2.51
pruned_2_layers_epoch_6,0.61,1.15,2.58
pruned_3_layers_epoch_6,0.62,1.19,2.79
pruned_4_layers_epoch_6,0.65,1.25,2.76
pruned_5_layers_epoch_6,0.69,1.31,3.11
pruned_6_layers_epoch_6,0.75,1.39,3.1
persistence,2.5,4.69,5.51
climatology,4.22,4.19,4.2
