model_name,lead_time_step,variable,rmse,acc
pruned_2_layers_epoch_6,1,z500,37.291346757771585,0.999336080511189
pruned_2_layers_epoch_6,1,t850,0.5403277529351538,0.9941889770204129
pruned_2_layers_epoch_6,1,t2m,0.7567624286566367,0.9892182423415796
pruned_2_layers_epoch_6,1,u10,0.6003141363239821,0.9897410440045362
pruned_2_layers_epoch_6,1,v10,0.6098457944459755,0.9894152057237465
pruned_2_layers_epoch_6,2,z500,58.32834416394793,0.9983833555402702
pruned_2_layers_epoch_6,2,t850,0.7181139301987334,0.9897883844109221
pruned_2_layers_epoch_6,2,t2m,0.8620326455744951,0.9864942611262785
pruned_2_layers_epoch_6,2,u10,0.8127277909710421,0.9808930684734323
pruned_2_layers_epoch_6,2,v10,0.8405482246223108,0.9795661798402584
pruned_2_layers_epoch_6,3,z500,77.15573874532177,0.997171554152526
pruned_2_layers_epoch_6,3,t850,0.8055989888793263,0.987033904597746
pruned_2_layers_epoch_6,3,t2m,0.9378574517186128,0.9836686936170695
pruned_2_layers_epoch_6,3,u10,0.9347288518644578,0.9749932249165114
pruned_2_layers_epoch_6,3,v10,0.9688658218144038,0.9731110767279257
pruned_2_layers_epoch_6,4,z500,99.84020365283476,0.9952845726599241
pruned_2_layers_epoch_6,4,t850,0.9241285670402996,0.983061971278164
pruned_2_layers_epoch_6,4,t2m,1.0161654463027443,0.981355172628797
pruned_2_layers_epoch_6,4,u10,1.1134729964773082,0.9639258804268012
pruned_2_layers_epoch_6,4,v10,1.1508649088150962,0.9614482055829224
pruned_2_layers_epoch_6,5,z500,121.91127627921504,0.9929447190721608
pruned_2_layers_epoch_6,5,t850,1.0128978640673547,0.9794891156963796
pruned_2_layers_epoch_6,5,t2m,1.0935014419715499,0.9779712148218848
pruned_2_layers_epoch_6,5,u10,1.2609403473038914,0.9542298706550172
pruned_2_layers_epoch_6,5,v10,1.3027015791258998,0.9510921772631853
pruned_2_layers_epoch_6,6,z500,147.04980703172737,0.989742338990366
pruned_2_layers_epoch_6,6,t850,1.131935200211722,0.9745763270548602
pruned_2_layers_epoch_6,6,t2m,1.181275712711185,0.9750136296842351
pruned_2_layers_epoch_6,6,u10,1.449022823871847,0.938502765567609
pruned_2_layers_epoch_6,6,v10,1.491335884152844,0.9348164433873566
pruned_2_layers_epoch_6,7,z500,171.21441352034415,0.9860295153862937
pruned_2_layers_epoch_6,7,t850,1.2332232611139393,0.9695878241981208
pruned_2_layers_epoch_6,7,t2m,1.274291806380842,0.9703197346053309
pruned_2_layers_epoch_6,7,u10,1.6176581788995412,0.9241675564696669
pruned_2_layers_epoch_6,7,v10,1.6668489638653547,0.9193977004322926
pruned_2_layers_epoch_6,8,z500,198.1230317867002,0.9813142638632705
pruned_2_layers_epoch_6,8,t850,1.3565819822876146,0.9634557469597076
pruned_2_layers_epoch_6,8,t2m,1.4160891911171003,0.9638765474271508
pruned_2_layers_epoch_6,8,u10,1.8073960902304622,0.9036532863558338
pruned_2_layers_epoch_6,8,v10,1.8561505112568093,0.8982902958406417
pruned_2_layers_epoch_6,9,z500,224.55432555129408,0.9758751272489239
pruned_2_layers_epoch_6,9,t850,1.4751970501585379,0.9564525964539811
pruned_2_layers_epoch_6,9,t2m,1.6197538009568966,0.9509411074595744
pruned_2_layers_epoch_6,9,u10,1.986310567269778,0.8848698092572516
pruned_2_layers_epoch_6,9,v10,2.039794427722526,0.8784365164501041
pruned_2_layers_epoch_6,10,z500,253.47837164681718,0.9692720304654298
pruned_2_layers_epoch_6,10,t850,1.6132244917267529,0.9483026792217233
pruned_2_layers_epoch_6,10,t2m,1.9297907685434352,0.9322199888069537
pruned_2_layers_epoch_6,10,u10,2.1710514509478096,0.8599595520749438
pruned_2_layers_epoch_6,10,v10,2.2215271302441644,0.8531972013372283
pruned_2_layers_epoch_6,11,z500,281.9779377516422,0.9617380330016493
pruned_2_layers_epoch_6,11,t850,1.755677931801567,0.9382875265355882
pruned_2_layers_epoch_6,11,t2m,2.3676245292471774,0.9033439492380153
pruned_2_layers_epoch_6,11,u10,2.348703799966993,0.8378135904919501
pruned_2_layers_epoch_6,11,v10,2.4058700446975965,0.8296463199833918
pruned_2_layers_epoch_6,12,z500,312.63646992092026,0.9529582941332343
pruned_2_layers_epoch_6,12,t850,1.9188878349751735,0.9269816685655263
