model_name,6h,24h,72h
backbone,0.994621388406061,0.98615876323018,0.9490281876239032
backbone_epoch_6,0.9945649458043402,0.9845892144315068,0.9403522024607526
pruned_1_layers_epoch_6,0.9944481117099356,0.9844278300274684,0.9291879631287558
pruned_2_layers_epoch_6,0.9941889770204128,0.983061971278164,0.9269816685655264
pruned_3_layers_epoch_6,0.9939281980418626,0.9818069568559444,0.874724019839111
pruned_4_layers_epoch_6,0.9934171817822164,0.9799447089600164,0.9149798621012512
pruned_5_layers_epoch_6,0.9925463033122056,0.9776238938949628,0.8924801476174893
pruned_6_layers_epoch_6,0.9914168465736858,0.974056614177853,0.8722615824731369
persistence,0.94927,0.80518,0.63176
climatology,0.0,0.0,0.0
