model_name,6h,24h,72h
backbone,0.9904452179397284,0.9693385199461568,0.8489967035181696
backbone_epoch_6,0.9903669217445332,0.9672466439907778,0.8321308683416697
pruned_1_layers_epoch_6,0.9901445844319946,0.966067158643094,0.8208217993794873
pruned_2_layers_epoch_6,0.9897410440045362,0.9639258804268012,0.8090864326700818
pruned_3_layers_epoch_6,0.9892792268838296,0.9617594230774394,0.7724985786656428
pruned_4_layers_epoch_6,0.9883749804683236,0.9574539035392208,0.7731889586208919
pruned_5_layers_epoch_6,0.9866652448750076,0.9530481779375556,0.7330058053885092
pruned_6_layers_epoch_6,0.9843607924503988,0.946200417406732,0.7172768056059683
persistence,0.85671,0.52038,0.25387
climatology,0.0,0.0,0.0
