variable,lead_time_step,model_name,acc
t850,16,pruned_1_layers_epoch_6,0.8594292592069956
t850,17,backbone,0.905154230874344
t850,17,backbone_epoch_6,0.8912351161408025
t850,17,pruned_4_layers_epoch_6,0.8389989663768747
t850,18,backbone,0.8948611007722397
t850,18,backbone_epoch_6,0.8802955783279248
t850,18,pruned_4_layers_epoch_6,0.8227527584443545
t850,19,backbone,0.8837555810059915
t850,19,backbone_epoch_6,0.8680360007552461
t850,19,pruned_4_layers_epoch_6,0.8041354158071167
t850,20,backbone,0.8727545398573636
t850,20,backbone_epoch_6,0.856535859947098
t850,20,pruned_4_layers_epoch_6,0.7874880682822712
t850,21,backbone,0.860733240343339
t850,21,backbone_epoch_6,0.8436609370082451
t850,21,pruned_4_layers_epoch_6,0.7685208187422938
t850,22,backbone,0.8491119186305467
t850,22,backbone_epoch_6,0.8316585754549037
t850,22,pruned_4_layers_epoch_6,0.752220423527936
t850,23,backbone,0.8365020498883124
t850,23,backbone_epoch_6,0.8182665955420979
t850,23,pruned_4_layers_epoch_6,0.7333655796903472
t850,24,backbone,0.8247942225227143
t850,24,backbone_epoch_6,0.8062000341255572
t850,24,pruned_4_layers_epoch_6,0.7177631903294078
t850,25,backbone,0.8121009792029524
t850,25,backbone_epoch_6,0.7928303879732527
t850,25,pruned_4_layers_epoch_6,0.6998366412170772
t850,26,backbone,0.8004771637516981
t850,26,backbone_epoch_6,0.7810518738277797
t850,26,pruned_4_layers_epoch_6,0.6852457062159171
t850,27,backbone,0.7877917942388097
t850,27,backbone_epoch_6,0.7677766787273258
t850,27,pruned_4_layers_epoch_6,0.668100516722855
t850,28,backbone,0.7768494583374961
t850,28,backbone_epoch_6,0.7563405506437717
t850,28,pruned_4_layers_epoch_6,0.6544882205611501
u10,1,backbone,0.9904452179397284
u10,1,backbone_epoch_6,0.9903669217445332
u10,1,pruned_1_layers_epoch_6,0.9901445844319946
u10,2,backbone,0.9825603555700632
u10,2,backbone_epoch_6,0.9821409123569892
u10,2,pruned_1_layers_epoch_6,0.9816912236160408
u10,3,backbone,0.9784460846938234
u10,3,backbone_epoch_6,0.9770818072990332
u10,3,pruned_1_layers_epoch_6,0.9763514316281792
u10,4,backbone,0.9693385199461568
u10,4,backbone_epoch_6,0.9672466439907778
u10,4,pruned_1_layers_epoch_6,0.966067158643094
u10,5,backbone,0.9627604597773632
u10,5,backbone_epoch_6,0.9591086113919092
u10,5,pruned_1_layers_epoch_6,0.9573545832207748
u10,6,backbone,0.950170040796589
u10,6,backbone_epoch_6,0.945360197035294
u10,6,pruned_1_layers_epoch_6,0.942773281528963
u10,7,backbone,0.940167364461462
u10,7,backbone_epoch_6,0.933254529976978
u10,7,pruned_1_layers_epoch_6,0.929662606236655
u10,8,backbone,0.9237554905800844
u10,8,backbone_epoch_6,0.9153842985963022
u10,8,pruned_1_layers_epoch_6,0.910500329300012
u10,9,backbone,0.9100772581952912
u10,9,backbone_epoch_6,0.8992598136710055
u10,9,pruned_1_layers_epoch_6,0.8929339264358223
u10,10,backbone,0.8897260054529712
u10,10,backbone_epoch_6,0.8772412801588048
u10,10,pruned_1_layers_epoch_6,0.8692778695229045
u10,11,backbone,0.872731718937112
u10,11,backbone_epoch_6,0.85769607501323
u10,11,pruned_1_layers_epoch_6,0.8480741538149018
u10,12,backbone,0.8489967035181696
u10,12,backbone_epoch_6,0.8321308683416697
u10,12,pruned_1_layers_epoch_6,0.8208217993794873
u10,13,backbone,0.8290634068696858
u10,13,backbone_epoch_6,0.8096194150727555
u10,13,pruned_1_layers_epoch_6,0.7964017201402334
u10,14,backbone,0.8019847660091336
u10,14,backbone_epoch_6,0.7808342382894548
u10,14,pruned_1_layers_epoch_6,0.7650255490947702
u10,15,backbone,0.7799999946988495
u10,15,backbone_epoch_6,0.7564172311868081
u10,15,pruned_1_layers_epoch_6,0.7375223087198908
u10,16,backbone,0.751116112290814
u10,16,backbone_epoch_6,0.7258250313764177
u10,16,pruned_1_layers_epoch_6,0.7022561417611618
u10,17,backbone,0.728511559896629
u10,17,backbone_epoch_6,0.7010223372688507
u10,17,pruned_1_layers_epoch_6,0.6720771816189729
u10,18,backbone,0.6985015656029046
u10,18,backbone_epoch_6,0.6698983657959453
u10,18,pruned_1_layers_epoch_6,0.6333994976968073
u10,19,backbone,0.6756289997580331
u10,19,backbone_epoch_6,0.6453250263656318
u10,19,pruned_1_layers_epoch_6,0.6012649534467879
u10,20,backbone,0.6453556318522832
u10,20,backbone_epoch_6,0.6143494484810855
u10,20,pruned_1_layers_epoch_6,0.5602595426516825
u10,21,backbone,0.6231257416016562
u10,21,backbone_epoch_6,0.5911637949210972
u10,21,pruned_1_layers_epoch_6,0.5270523588750615
u10,22,backbone,0.5935956852396107
u10,22,backbone_epoch_6,0.5613347878003253
u10,22,pruned_1_layers_epoch_6,0.4838207051907172
u10,23,backbone,0.5726874101095359
u10,23,backbone_epoch_6,0.5399244281166758
u10,23,pruned_2_layers_epoch_6,0.4523591223542251
u10,24,backbone,0.5439646368919138
u10,24,backbone_epoch_6,0.511259091133512
u10,24,pruned_2_layers_epoch_6,0.4113726168038459
u10,25,backbone,0.5248111741169871
u10,25,backbone_epoch_6,0.4918650278831993
u10,25,pruned_2_layers_epoch_6,0.3831456965407845
u10,26,backbone,0.4976116009264685
u10,26,backbone_epoch_6,0.4650284776141524
u10,26,pruned_2_layers_epoch_6,0.3436189407909382
u10,27,backbone,0.4802025171964528
u10,27,backbone_epoch_6,0.4487187511095121
u10,27,pruned_4_layers_epoch_6,0.3276246542204691
u10,28,backbone,0.4550077370758163
u10,28,backbone_epoch_6,0.4251810729337138
u10,28,pruned_4_layers_epoch_6,0.3022647914190532
v10,1,backbone,0.9901924999066573
v10,1,backbone_epoch_6,0.990088179790774
v10,1,pruned_1_layers_epoch_6,0.9898527804033715
v10,2,backbone,0.9814019979045376
v10,2,backbone_epoch_6,0.9809369717896318
v10,2,pruned_1_layers_epoch_6,0.9804484254821052
v10,3,backbone,0.9768624602083388
v10,3,backbone_epoch_6,0.9753350948488246
v10,3,pruned_1_layers_epoch_6,0.974614679480398
v10,4,backbone,0.9672872374177643
v10,4,backbone_epoch_6,0.9649881597337776
v10,4,pruned_1_layers_epoch_6,0.9638878460036976
v10,5,backbone,0.9601683613308316
v10,5,backbone_epoch_6,0.9561460520968093
v10,5,pruned_1_layers_epoch_6,0.954419235943416
v10,6,backbone,0.947067432563398
v10,6,backbone_epoch_6,0.9418326672894994
v10,6,pruned_1_layers_epoch_6,0.9392014955009164
v10,7,backbone,0.93618726697048
v10,7,backbone_epoch_6,0.928535457762926
v10,7,pruned_1_layers_epoch_6,0.9248262880234744
v10,8,backbone,0.9192180027508868
v10,8,backbone_epoch_6,0.9100555094926716
v10,8,pruned_1_layers_epoch_6,0.9049762241001236
v10,9,backbone,0.9045524820269152
v10,9,backbone_epoch_6,0.8925842036748065
v10,9,pruned_1_layers_epoch_6,0.8861344543249248
v10,10,backbone,0.8836304628649237
v10,10,backbone_epoch_6,0.8700205647079639
v10,10,pruned_1_layers_epoch_6,0.8621203836116045
v10,11,backbone,0.8654036488612937
v10,11,backbone_epoch_6,0.8487661131267441
v10,11,pruned_1_layers_epoch_6,0.839517692946855
v10,12,backbone,0.841038378590312
v10,12,backbone_epoch_6,0.8226907133390118
v10,12,pruned_1_layers_epoch_6,0.8117336304494123
v10,13,backbone,0.8197729031466905
v10,13,backbone_epoch_6,0.7983710263028491
v10,13,pruned_1_layers_epoch_6,0.7855356318990612
v10,14,backbone,0.792698328055483
v10,14,backbone_epoch_6,0.76950692830805
v10,14,pruned_1_layers_epoch_6,0.7542314725881182
v10,15,backbone,0.769170211014135
v10,15,backbone_epoch_6,0.7429407954881977
v10,15,pruned_1_layers_epoch_6,0.7246863861989709
v10,16,backbone,0.7400252719165227
v10,16,backbone_epoch_6,0.7124426677906314
v10,16,pruned_1_layers_epoch_6,0.6894388741621092
v10,17,backbone,0.7146961702314835
v10,17,backbone_epoch_6,0.6849624364735694
v10,17,pruned_1_layers_epoch_6,0.6558216868499138
v10,18,backbone,0.6844427059482596
v10,18,backbone_epoch_6,0.6536495800457853
v10,18,pruned_1_layers_epoch_6,0.6165699943816861
v10,19,backbone,0.6580080643046502
v10,19,backbone_epoch_6,0.6257055421781273
v10,19,pruned_1_layers_epoch_6,0.5790898700000188
v10,20,backbone,0.626580230350601
v10,20,backbone_epoch_6,0.5942679796804929
v10,20,pruned_1_layers_epoch_6,0.5361407360884064
v10,21,backbone,0.59976482857539
v10,21,backbone_epoch_6,0.5665649816643592
v10,21,pruned_2_layers_epoch_6,0.4967413699493728
v10,22,backbone,0.5690485716865049
v10,22,backbone_epoch_6,0.535422596185567
v10,22,pruned_2_layers_epoch_6,0.4558325391574945
v10,23,backbone,0.5436663697551749
v10,23,backbone_epoch_6,0.5088097561338094
v10,23,pruned_2_layers_epoch_6,0.4185614247062352
v10,24,backbone,0.5152143256624317
v10,24,backbone_epoch_6,0.4804318050265978
v10,24,pruned_2_layers_epoch_6,0.3772201646306661
v10,25,backbone,0.4921920752392135
v10,25,backbone_epoch_6,0.4570545397657256
v10,25,pruned_2_layers_epoch_6,0.3406669015075241
v10,26,backbone,0.4662897999726194
v10,26,backbone_epoch_6,0.4322935177960209
v10,26,pruned_2_layers_epoch_6,0.3012119609883377
v10,27,backbone,0.4443704518359466
v10,27,backbone_epoch_6,0.4112432594072885
v10,27,pruned_2_layers_epoch_6,0.2664331245813622
v10,28,backbone,0.4200364109024655
v10,28,backbone_epoch_6,0.3885027859464038
v10,28,pruned_2_layers_epoch_6,0.2309406559846712
z500,1,backbone_epoch_6,0.9994240819408908
z500,1,pruned_1_layers_epoch_6,0.9994179982712816
z500,1,backbone,0.9993453085755504
z500,2,backbone,0.9987346589898264
z500,2,backbone_epoch_6,0.998614728783762
z500,2,pruned_1_layers_epoch_6,0.9985997846672656
z500,3,backbone,0.998071384829516
z500,3,backbone_epoch_6,0.9976380254303276
z500,3,pruned_1_layers_epoch_6,0.9976297184075724
z500,4,backbone,0.9967963315921122
z500,4,backbone_epoch_6,0.9960208585142424
z500,4,pruned_1_layers_epoch_6,0.9959793074170972
z500,5,backbone,0.9954202701259592
z500,5,backbone_epoch_6,0.9940758710466948
z500,5,pruned_1_layers_epoch_6,0.9940088964041384
z500,6,backbone,0.9931721217805448
z500,6,backbone_epoch_6,0.9912929095369476
z500,6,pruned_1_layers_epoch_6,0.9911053327208792
z500,7,backbone,0.9908643231711574
z500,7,backbone_epoch_6,0.9881525352680484
z500,7,pruned_1_layers_epoch_6,0.9878338308973684
z500,8,backbone,0.987515662302518
z500,8,backbone_epoch_6,0.9840434992779566
z500,8,pruned_1_layers_epoch_6,0.9834641554502136
z500,9,backbone,0.9839455035811696
z500,9,backbone_epoch_6,0.9794279649936952
